ID	experiment	zoo	clutch	euthanised	days_survived	infection_status	slope_bd	bd_std.error	age_start	age_death	wt_start	wt_death	svl_start	svl_death	bc_start	bc_death	bc_change
Psco_473	2	MZ	36	1	73	1	0.25062427	0.082592095	192	265	1.443	0.981	24.89	24.71	0.11	-0.01	-0.12
Psco_370	1	MZ	7	1	53	1	0.702874149	0.206367918	278	331	1.029	0.791	24.17	21.36	0.01	-0.08	-0.09
Psco_481	2	MZ	27	1	89	1	0.483015757	0.05810671	208	297	1.146	0.876	23.37	22.52	0.04	-0.04	-0.09
Psco_378	1	TZ	9	0	98	0	0	0	296	394	0.792	0.73	21.32	23.23	-0.08	-0.1	-0.02
Psco_489	2	TZ	48	0	98	0	0	0	173	271	0.543	0.591	20.15	20.6	-0.2	-0.17	0.03
Psco_193	1	MZ	2	0	98	0	0	0	271	369	0.944	0.806	22.5	22.94	-0.02	-0.07	-0.05
Psco_105	1	MZ	6	1	81	1	0.251957659	0.103683126	278	359	1.103	0.74	23.2	21.56	0.03	-0.1	-0.13
Psco_201	1	MZ	6	1	82	1	0.550217752	0.231556367	278	360	1.157	0.669	23.26	21.34	0.05	-0.13	-0.18
Psco_113	1	TZ	9	1	56	1	0.925294561	0.232029539	296	352	0.781	0.612	21.64	19.63	-0.08	-0.16	-0.08
Psco_209	1	MZ	4	1	71	1	0.464800759	0.04780181	271	342	0.82	0.613	22.39	21.95	-0.06	-0.16	-0.09
Psco_121	1	MZ	2	0	98	1	0.287939928	0.033915109	271	369	1.001	0.717	23.45	21.38	0	-0.11	-0.11
Psco_217	1	TZ	14	1	56	1	0.786971333	0.15106342	292	348	0.99	0.755	23.53	22.58	0	-0.09	-0.09
Psco_129	1	TZ	9	1	84	1	0.384388959	0.07553008	296	380	0.854	0.606	22.43	20.28	-0.05	-0.17	-0.12
Psco_225	1	TZ	9	1	72	1	0.643808042	0.106933124	296	368	1.039	0.745	25.04	21.3	0.01	-0.1	-0.11
Psco_137	1	TZ	13	1	46	1	0.790543485	0.203194078	289	335	0.981	0.72	23.01	21.56	-0.01	-0.11	-0.1
Psco_233	1	TZ	12	0	98	0	0	0	296	394	0.723	0.609	21.94	21.74	-0.11	-0.16	-0.06
Psco_145	1	TZ	14	1	53	1	0.589338983	0.215348521	292	345	1.253	0.998	25.58	23.93	0.07	0	-0.07
Psco_241	1	TZ	11	1	58	1	0.379001889	0.189982076	303	361	1.174	0.635	24.69	21.29	0.05	-0.15	-0.2
Psco_153	1	MZ	7	1	56	1	0.425538685	0.241149648	278	334	0.823	0.649	21.96	21.66	-0.06	-0.14	-0.08
Psco_250	1	TZ	19	1	56	1	0.601032542	0.182202792	276	332	0.751	0.527	21.28	18.5	-0.09	-0.22	-0.13
Psco_161	1	TZ	9	1	79	1	0.449310495	0.066918014	296	375	0.978	0.659	23.73	20.68	-0.01	-0.14	-0.13
Psco_258	1	TZ	17	1	44	1	0.679796022	0.217530311	276	320	1.264	0.925	24.86	22.5	0.07	-0.03	-0.1
